pfn,tot_access_count,tlb_hit,tlb_tot_miss,tlb_miss_pt_hit,tlb_miss_pt_miss,tlb_miss_pt_miss_outstand,tlb_miss_pt_miss_pending
524370,2176,0,0,0,0,0,0
524371,2176,0,0,0,0,0,0
524372,2176,0,0,0,0,0,0
524373,2176,0,0,0,0,0,0
524374,2176,0,0,0,0,0,0
524375,2176,0,0,0,0,0,0
524376,2176,0,0,0,0,0,0
524377,2176,0,0,0,0,0,0
524378,2176,0,0,0,0,0,0
524379,2176,0,0,0,0,0,0
524380,2176,0,0,0,0,0,0
524381,2176,0,0,0,0,0,0
524382,2176,0,0,0,0,0,0
524383,2176,0,0,0,0,0,0
524384,2176,0,0,0,0,0,0
524385,2176,0,0,0,0,0,0
524386,2176,0,0,0,0,0,0
524387,2176,0,0,0,0,0,0
524388,2176,0,0,0,0,0,0
524389,2176,0,0,0,0,0,0
524390,2176,0,0,0,0,0,0
524391,2176,0,0,0,0,0,0
524392,2176,0,0,0,0,0,0
524393,2176,0,0,0,0,0,0
524394,2176,0,0,0,0,0,0
524395,2176,0,0,0,0,0,0
524396,2176,0,0,0,0,0,0
524397,2176,0,0,0,0,0,0
524398,2176,0,0,0,0,0,0
524399,2176,0,0,0,0,0,0
524400,2176,0,0,0,0,0,0
524401,2176,0,0,0,0,0,0
524402,2176,0,0,0,0,0,0
524403,2176,0,0,0,0,0,0
524404,2176,0,0,0,0,0,0
524405,2176,0,0,0,0,0,0
524406,2176,0,0,0,0,0,0
524407,2176,0,0,0,0,0,0
524408,2176,0,0,0,0,0,0
524409,2176,0,0,0,0,0,0
524410,2176,0,0,0,0,0,0
524411,2176,0,0,0,0,0,0
524412,2176,0,0,0,0,0,0
524413,2176,0,0,0,0,0,0
524414,2176,0,0,0,0,0,0
524415,2176,0,0,0,0,0,0
524416,2176,0,0,0,0,0,0
524417,2176,0,0,0,0,0,0
524418,2176,0,0,0,0,0,0
524419,2176,0,0,0,0,0,0
524420,2176,0,0,0,0,0,0
524421,2176,0,0,0,0,0,0
524422,2176,0,0,0,0,0,0
524423,2176,0,0,0,0,0,0
524424,2176,0,0,0,0,0,0
524425,2176,0,0,0,0,0,0
524426,2176,0,0,0,0,0,0
524427,2176,0,0,0,0,0,0
524428,2176,0,0,0,0,0,0
524429,2176,0,0,0,0,0,0
524430,2176,0,0,0,0,0,0
524431,2176,0,0,0,0,0,0
524432,2176,0,0,0,0,0,0
524433,2176,0,0,0,0,0,0
524434,2176,0,0,0,0,0,0
524435,2176,0,0,0,0,0,0
524436,2176,0,0,0,0,0,0
524437,2176,0,0,0,0,0,0
524438,2176,0,0,0,0,0,0
524439,2176,0,0,0,0,0,0
524440,2176,0,0,0,0,0,0
524441,2176,0,0,0,0,0,0
524442,2176,0,0,0,0,0,0
524443,2176,0,0,0,0,0,0
524444,2176,0,0,0,0,0,0
524445,2176,0,0,0,0,0,0
524446,2176,0,0,0,0,0,0
524447,2176,0,0,0,0,0,0
524448,2176,0,0,0,0,0,0
524449,2176,0,0,0,0,0,0
524450,2176,0,0,0,0,0,0
524451,2176,0,0,0,0,0,0
524452,2176,0,0,0,0,0,0
524453,2176,0,0,0,0,0,0
524454,2176,0,0,0,0,0,0
524455,2176,0,0,0,0,0,0
524456,2176,0,0,0,0,0,0
524457,2176,0,0,0,0,0,0
524458,2176,0,0,0,0,0,0
524459,2176,0,0,0,0,0,0
524460,2176,0,0,0,0,0,0
524461,2176,0,0,0,0,0,0
524462,2176,0,0,0,0,0,0
524463,2176,0,0,0,0,0,0
524464,2176,0,0,0,0,0,0
524465,2176,0,0,0,0,0,0
524466,2176,0,0,0,0,0,0
524467,2176,0,0,0,0,0,0
524468,2176,0,0,0,0,0,0
524469,2176,0,0,0,0,0,0
524470,2176,0,0,0,0,0,0
524471,2176,0,0,0,0,0,0
524472,2176,0,0,0,0,0,0
524473,2176,0,0,0,0,0,0
524474,2176,0,0,0,0,0,0
524475,2176,0,0,0,0,0,0
524476,2176,0,0,0,0,0,0
524477,2176,0,0,0,0,0,0
524478,2176,0,0,0,0,0,0
524479,2176,0,0,0,0,0,0
524480,2176,0,0,0,0,0,0
524481,2176,0,0,0,0,0,0
524482,2176,0,0,0,0,0,0
524483,2176,0,0,0,0,0,0
524484,2176,0,0,0,0,0,0
524485,2176,0,0,0,0,0,0
524486,2176,0,0,0,0,0,0
524487,2176,0,0,0,0,0,0
524488,2176,0,0,0,0,0,0
524489,2176,0,0,0,0,0,0
524490,2176,0,0,0,0,0,0
524491,2176,0,0,0,0,0,0
524492,2176,0,0,0,0,0,0
524493,2176,0,0,0,0,0,0
524494,2176,0,0,0,0,0,0
524495,2176,0,0,0,0,0,0
524496,2176,0,0,0,0,0,0
524497,2176,0,0,0,0,0,0
524498,2176,0,0,0,0,0,0
524499,2176,0,0,0,0,0,0
524500,2176,0,0,0,0,0,0
524501,2176,0,0,0,0,0,0
524502,2176,0,0,0,0,0,0
524503,2176,0,0,0,0,0,0
524504,2176,0,0,0,0,0,0
524505,2176,0,0,0,0,0,0
524506,2176,0,0,0,0,0,0
524507,2176,0,0,0,0,0,0
524508,2176,0,0,0,0,0,0
524509,2176,0,0,0,0,0,0
524510,2176,0,0,0,0,0,0
524511,2176,0,0,0,0,0,0
524512,2176,0,0,0,0,0,0
524513,2176,0,0,0,0,0,0
524514,2176,0,0,0,0,0,0
524515,2176,0,0,0,0,0,0
524516,2176,0,0,0,0,0,0
524517,2176,0,0,0,0,0,0
524518,2176,0,0,0,0,0,0
524519,2176,0,0,0,0,0,0
524520,2176,0,0,0,0,0,0
524521,2176,0,0,0,0,0,0
524522,2176,0,0,0,0,0,0
524523,2176,0,0,0,0,0,0
524524,2176,0,0,0,0,0,0
524525,2176,0,0,0,0,0,0
524526,2176,0,0,0,0,0,0
524527,2176,0,0,0,0,0,0
524528,2176,0,0,0,0,0,0
524529,2176,0,0,0,0,0,0
524530,2176,0,0,0,0,0,0
524531,2176,0,0,0,0,0,0
524532,2176,0,0,0,0,0,0
524533,2176,0,0,0,0,0,0
524534,2176,0,0,0,0,0,0
524535,2176,0,0,0,0,0,0
524536,2176,0,0,0,0,0,0
524537,2176,0,0,0,0,0,0
524538,2176,0,0,0,0,0,0
524539,2176,0,0,0,0,0,0
524540,2176,0,0,0,0,0,0
524541,2176,0,0,0,0,0,0
524542,2176,0,0,0,0,0,0
524543,2176,0,0,0,0,0,0
524544,2176,0,0,0,0,0,0
524545,2176,0,0,0,0,0,0
524546,2176,0,0,0,0,0,0
524547,2176,0,0,0,0,0,0
524548,2176,0,0,0,0,0,0
524549,2176,0,0,0,0,0,0
524550,2176,0,0,0,0,0,0
524551,2176,0,0,0,0,0,0
524552,2176,0,0,0,0,0,0
524553,2176,0,0,0,0,0,0
524554,2176,0,0,0,0,0,0
524555,2176,0,0,0,0,0,0
524556,2176,0,0,0,0,0,0
524557,2176,0,0,0,0,0,0
524558,2176,0,0,0,0,0,0
524559,2176,0,0,0,0,0,0
524560,2176,0,0,0,0,0,0
524561,2176,0,0,0,0,0,0
524562,2176,0,0,0,0,0,0
524563,2176,0,0,0,0,0,0
524564,2176,0,0,0,0,0,0
524565,2176,0,0,0,0,0,0
524566,2176,0,0,0,0,0,0
524567,2176,0,0,0,0,0,0
524568,2176,0,0,0,0,0,0
524569,2176,0,0,0,0,0,0
524570,2176,0,0,0,0,0,0
524571,2176,0,0,0,0,0,0
524572,2176,0,0,0,0,0,0
524573,2176,0,0,0,0,0,0
524574,2176,0,0,0,0,0,0
524575,2176,0,0,0,0,0,0
524576,2176,0,0,0,0,0,0
524577,2176,0,0,0,0,0,0
524578,2176,0,0,0,0,0,0
524579,2176,0,0,0,0,0,0
524580,2176,0,0,0,0,0,0
524581,2176,0,0,0,0,0,0
524582,2176,0,0,0,0,0,0
524583,2176,0,0,0,0,0,0
524584,2176,0,0,0,0,0,0
524585,2176,0,0,0,0,0,0
524586,2176,0,0,0,0,0,0
524587,2176,0,0,0,0,0,0
524588,2176,0,0,0,0,0,0
524589,2176,0,0,0,0,0,0
524590,2176,0,0,0,0,0,0
524591,2176,0,0,0,0,0,0
524592,2176,0,0,0,0,0,0
524593,2176,0,0,0,0,0,0
524594,2176,0,0,0,0,0,0
524595,2176,0,0,0,0,0,0
524596,2176,0,0,0,0,0,0
524597,2176,0,0,0,0,0,0
524598,2176,0,0,0,0,0,0
524599,2176,0,0,0,0,0,0
524600,2176,0,0,0,0,0,0
524601,2176,0,0,0,0,0,0
524602,2176,0,0,0,0,0,0
524603,2176,0,0,0,0,0,0
524604,2176,0,0,0,0,0,0
524605,2176,0,0,0,0,0,0
524606,2176,0,0,0,0,0,0
524607,2176,0,0,0,0,0,0
524608,2176,0,0,0,0,0,0
524609,2176,0,0,0,0,0,0
524610,2176,0,0,0,0,0,0
524611,2176,0,0,0,0,0,0
524612,2176,0,0,0,0,0,0
524613,2176,0,0,0,0,0,0
524614,2176,0,0,0,0,0,0
524615,2176,0,0,0,0,0,0
524616,2176,0,0,0,0,0,0
524617,2176,0,0,0,0,0,0
524618,2176,0,0,0,0,0,0
524619,2176,0,0,0,0,0,0
524620,2176,0,0,0,0,0,0
524621,2176,0,0,0,0,0,0
524622,2176,0,0,0,0,0,0
524623,2176,0,0,0,0,0,0
524624,2176,0,0,0,0,0,0
524625,2176,0,0,0,0,0,0
524626,2176,0,0,0,0,0,0
524627,2176,0,0,0,0,0,0
524628,2176,0,0,0,0,0,0
524629,2176,0,0,0,0,0,0
524630,2176,0,0,0,0,0,0
524631,2176,0,0,0,0,0,0
524632,2176,0,0,0,0,0,0
524633,2176,0,0,0,0,0,0
524634,2176,0,0,0,0,0,0
524635,2176,0,0,0,0,0,0
524636,2176,0,0,0,0,0,0
524637,2176,0,0,0,0,0,0
524638,2176,0,0,0,0,0,0
524639,2176,0,0,0,0,0,0
524640,2176,0,0,0,0,0,0
524641,2176,0,0,0,0,0,0
524642,2176,0,0,0,0,0,0
524643,2176,0,0,0,0,0,0
524644,2176,0,0,0,0,0,0
524645,2176,0,0,0,0,0,0
524646,2176,0,0,0,0,0,0
524647,2176,0,0,0,0,0,0
524648,2176,0,0,0,0,0,0
524649,2176,0,0,0,0,0,0
524650,2176,0,0,0,0,0,0
524651,2176,0,0,0,0,0,0
524652,2176,0,0,0,0,0,0
524653,2176,0,0,0,0,0,0
524654,2176,0,0,0,0,0,0
524655,2176,0,0,0,0,0,0
524656,2176,0,0,0,0,0,0
524657,2176,0,0,0,0,0,0
524658,2176,0,0,0,0,0,0
524659,2176,0,0,0,0,0,0
524660,2176,0,0,0,0,0,0
524661,2176,0,0,0,0,0,0
524662,2176,0,0,0,0,0,0
524663,2176,0,0,0,0,0,0
524664,2176,0,0,0,0,0,0
524665,2176,0,0,0,0,0,0
524666,2176,0,0,0,0,0,0
524667,2176,0,0,0,0,0,0
524668,2176,0,0,0,0,0,0
524669,2176,0,0,0,0,0,0
524670,2176,0,0,0,0,0,0
524671,2176,0,0,0,0,0,0
524672,2176,0,0,0,0,0,0
524673,2176,0,0,0,0,0,0
524674,2176,0,0,0,0,0,0
524675,2176,0,0,0,0,0,0
524676,2176,0,0,0,0,0,0
524677,2176,0,0,0,0,0,0
524678,2176,0,0,0,0,0,0
524679,2176,0,0,0,0,0,0
524680,2176,0,0,0,0,0,0
524681,2176,0,0,0,0,0,0
524682,2176,0,0,0,0,0,0
524683,2176,0,0,0,0,0,0
524684,2176,0,0,0,0,0,0
524685,2176,0,0,0,0,0,0
524686,2176,0,0,0,0,0,0
524687,2176,0,0,0,0,0,0
524688,2176,0,0,0,0,0,0
524689,2176,0,0,0,0,0,0
524690,2176,0,0,0,0,0,0
524691,2176,0,0,0,0,0,0
524692,2176,0,0,0,0,0,0
524693,2176,0,0,0,0,0,0
524694,2176,0,0,0,0,0,0
524695,2176,0,0,0,0,0,0
524696,2176,0,0,0,0,0,0
524697,2176,0,0,0,0,0,0
524698,2176,0,0,0,0,0,0
524699,2176,0,0,0,0,0,0
524700,2176,0,0,0,0,0,0
524701,2176,0,0,0,0,0,0
524702,2176,0,0,0,0,0,0
524703,2176,0,0,0,0,0,0
524704,2176,0,0,0,0,0,0
524705,2176,0,0,0,0,0,0
524706,2176,0,0,0,0,0,0
524707,2176,0,0,0,0,0,0
524708,2176,0,0,0,0,0,0
524709,2176,0,0,0,0,0,0
524710,2176,0,0,0,0,0,0
524711,2176,0,0,0,0,0,0
524712,2176,0,0,0,0,0,0
524713,2176,0,0,0,0,0,0
524714,2176,0,0,0,0,0,0
524715,2176,0,0,0,0,0,0
524716,2176,0,0,0,0,0,0
524717,2176,0,0,0,0,0,0
524718,2176,0,0,0,0,0,0
524719,2176,0,0,0,0,0,0
524720,2176,0,0,0,0,0,0
524721,2176,0,0,0,0,0,0
524722,2176,0,0,0,0,0,0
524723,2176,0,0,0,0,0,0
524724,2176,0,0,0,0,0,0
524725,2176,0,0,0,0,0,0
524726,2176,0,0,0,0,0,0
524727,2176,0,0,0,0,0,0
524728,2176,0,0,0,0,0,0
524729,2176,0,0,0,0,0,0
524730,2176,0,0,0,0,0,0
524731,2176,0,0,0,0,0,0
524732,2176,0,0,0,0,0,0
524733,2176,0,0,0,0,0,0
524734,2176,0,0,0,0,0,0
524735,2176,0,0,0,0,0,0
524736,2176,0,0,0,0,0,0
524737,2176,0,0,0,0,0,0
524738,2176,0,0,0,0,0,0
524739,2176,0,0,0,0,0,0
524740,2176,0,0,0,0,0,0
524741,2176,0,0,0,0,0,0
524742,2176,0,0,0,0,0,0
524743,2176,0,0,0,0,0,0
524744,2176,0,0,0,0,0,0
524745,2176,0,0,0,0,0,0
524746,2176,0,0,0,0,0,0
524747,2176,0,0,0,0,0,0
524748,2176,0,0,0,0,0,0
524749,2176,0,0,0,0,0,0
524750,2176,0,0,0,0,0,0
524751,2176,0,0,0,0,0,0
524752,2176,0,0,0,0,0,0
524753,2176,0,0,0,0,0,0
524754,2176,0,0,0,0,0,0
524755,2176,0,0,0,0,0,0
524756,2176,0,0,0,0,0,0
524757,2176,0,0,0,0,0,0
524758,2176,0,0,0,0,0,0
524759,2176,0,0,0,0,0,0
524760,2176,0,0,0,0,0,0
524761,2176,0,0,0,0,0,0
524762,2176,0,0,0,0,0,0
524763,2176,0,0,0,0,0,0
524764,2176,0,0,0,0,0,0
524765,2176,0,0,0,0,0,0
524766,2176,0,0,0,0,0,0
524767,2176,0,0,0,0,0,0
524768,2176,0,0,0,0,0,0
524769,2176,0,0,0,0,0,0
524770,2176,0,0,0,0,0,0
524771,2176,0,0,0,0,0,0
524772,2176,0,0,0,0,0,0
524773,2176,0,0,0,0,0,0
524774,2176,0,0,0,0,0,0
524775,2176,0,0,0,0,0,0
524776,2176,0,0,0,0,0,0
524777,2176,0,0,0,0,0,0
524778,2176,0,0,0,0,0,0
524779,2176,0,0,0,0,0,0
524780,2176,0,0,0,0,0,0
524781,2176,0,0,0,0,0,0
524782,2176,0,0,0,0,0,0
524783,2176,0,0,0,0,0,0
524784,2176,0,0,0,0,0,0
524785,2176,0,0,0,0,0,0
524786,2176,0,0,0,0,0,0
524787,2176,0,0,0,0,0,0
524788,2176,0,0,0,0,0,0
524789,2176,0,0,0,0,0,0
524790,2176,0,0,0,0,0,0
524791,2176,0,0,0,0,0,0
524792,2176,0,0,0,0,0,0
524793,2176,0,0,0,0,0,0
524794,2176,0,0,0,0,0,0
524795,2176,0,0,0,0,0,0
524796,2176,0,0,0,0,0,0
524797,2176,0,0,0,0,0,0
524798,2176,0,0,0,0,0,0
524799,2176,0,0,0,0,0,0
524800,2176,0,0,0,0,0,0
524801,2176,0,0,0,0,0,0
524802,2176,0,0,0,0,0,0
524803,2176,0,0,0,0,0,0
524804,2176,0,0,0,0,0,0
524805,2176,0,0,0,0,0,0
524806,2176,0,0,0,0,0,0
524807,2176,0,0,0,0,0,0
524808,2176,0,0,0,0,0,0
524809,2176,0,0,0,0,0,0
524810,2176,0,0,0,0,0,0
524811,2176,0,0,0,0,0,0
524812,2176,0,0,0,0,0,0
524813,2176,0,0,0,0,0,0
524814,2176,0,0,0,0,0,0
524815,2176,0,0,0,0,0,0
524816,2176,0,0,0,0,0,0
524817,2176,0,0,0,0,0,0
524818,2176,0,0,0,0,0,0
524819,2176,0,0,0,0,0,0
524820,2176,0,0,0,0,0,0
524821,2176,0,0,0,0,0,0
524822,2176,0,0,0,0,0,0
524823,2176,0,0,0,0,0,0
524824,2176,0,0,0,0,0,0
524825,2176,0,0,0,0,0,0
524826,2176,0,0,0,0,0,0
524827,2176,0,0,0,0,0,0
524828,2176,0,0,0,0,0,0
524829,2176,0,0,0,0,0,0
524830,2176,0,0,0,0,0,0
524831,2176,0,0,0,0,0,0
524832,2176,0,0,0,0,0,0
524833,2176,0,0,0,0,0,0
524834,2176,0,0,0,0,0,0
524835,2176,0,0,0,0,0,0
524836,2176,0,0,0,0,0,0
524837,2176,0,0,0,0,0,0
524838,2176,0,0,0,0,0,0
524839,2176,0,0,0,0,0,0
524840,2176,0,0,0,0,0,0
524841,2176,0,0,0,0,0,0
524842,2176,0,0,0,0,0,0
524843,2176,0,0,0,0,0,0
524844,2176,0,0,0,0,0,0
524845,2176,0,0,0,0,0,0
524846,2176,0,0,0,0,0,0
524847,2176,0,0,0,0,0,0
524848,2176,0,0,0,0,0,0
524849,2176,0,0,0,0,0,0
524850,2176,0,0,0,0,0,0
524851,2176,0,0,0,0,0,0
524852,2176,0,0,0,0,0,0
524853,2176,0,0,0,0,0,0
524854,2176,0,0,0,0,0,0
524855,2176,0,0,0,0,0,0
524856,2176,0,0,0,0,0,0
524857,2176,0,0,0,0,0,0
524858,2176,0,0,0,0,0,0
524859,2176,0,0,0,0,0,0
524860,2176,0,0,0,0,0,0
524861,2176,0,0,0,0,0,0
524862,2176,0,0,0,0,0,0
524863,2176,0,0,0,0,0,0
524864,2176,0,0,0,0,0,0
524865,2176,0,0,0,0,0,0
524866,2176,0,0,0,0,0,0
524867,2176,0,0,0,0,0,0
524868,2176,0,0,0,0,0,0
524869,2176,0,0,0,0,0,0
524870,2176,0,0,0,0,0,0
524871,2176,0,0,0,0,0,0
524872,2176,0,0,0,0,0,0
524873,2176,0,0,0,0,0,0
524874,2176,0,0,0,0,0,0
524875,2176,0,0,0,0,0,0
524876,2176,0,0,0,0,0,0
524877,2176,0,0,0,0,0,0
524878,2176,0,0,0,0,0,0
524879,2176,0,0,0,0,0,0
524880,2176,0,0,0,0,0,0
524881,2176,0,0,0,0,0,0
524882,2176,0,0,0,0,0,0
524883,2176,0,0,0,0,0,0
524884,2176,0,0,0,0,0,0
524885,2176,0,0,0,0,0,0
524886,2176,0,0,0,0,0,0
524887,2176,0,0,0,0,0,0
524888,2176,0,0,0,0,0,0
524889,2176,0,0,0,0,0,0
524890,2176,0,0,0,0,0,0
524891,2176,0,0,0,0,0,0
524892,2176,0,0,0,0,0,0
524893,2176,0,0,0,0,0,0
524894,2176,0,0,0,0,0,0
524895,2176,0,0,0,0,0,0
524896,2176,0,0,0,0,0,0
524897,2176,0,0,0,0,0,0
524898,2176,0,0,0,0,0,0
524899,2176,0,0,0,0,0,0
524900,2176,0,0,0,0,0,0
524901,2176,0,0,0,0,0,0
524902,2176,0,0,0,0,0,0
524903,2176,0,0,0,0,0,0
524904,2176,0,0,0,0,0,0
524905,2176,0,0,0,0,0,0
524906,2176,0,0,0,0,0,0
524907,2176,0,0,0,0,0,0
524908,2176,0,0,0,0,0,0
524909,2176,0,0,0,0,0,0
524910,2176,0,0,0,0,0,0
524911,2176,0,0,0,0,0,0
524912,2176,0,0,0,0,0,0
524913,2176,0,0,0,0,0,0
524914,2176,0,0,0,0,0,0
524915,2176,0,0,0,0,0,0
524916,2176,0,0,0,0,0,0
524917,2176,0,0,0,0,0,0
524918,2176,0,0,0,0,0,0
524919,2176,0,0,0,0,0,0
524920,2176,0,0,0,0,0,0
524921,2176,0,0,0,0,0,0
524922,2176,0,0,0,0,0,0
524923,2176,0,0,0,0,0,0
524924,2176,0,0,0,0,0,0
524925,2176,0,0,0,0,0,0
524926,2176,0,0,0,0,0,0
524927,2176,0,0,0,0,0,0
524928,2176,0,0,0,0,0,0
524929,2176,0,0,0,0,0,0
524930,2176,0,0,0,0,0,0
524931,2176,0,0,0,0,0,0
524932,2176,0,0,0,0,0,0
524933,2176,0,0,0,0,0,0
524934,2176,0,0,0,0,0,0
524935,2176,0,0,0,0,0,0
524936,2176,0,0,0,0,0,0
524937,2176,0,0,0,0,0,0
524938,2176,0,0,0,0,0,0
524939,2176,0,0,0,0,0,0
524940,2176,0,0,0,0,0,0
524941,2176,0,0,0,0,0,0
524942,2176,0,0,0,0,0,0
524943,2176,0,0,0,0,0,0
524944,2176,0,0,0,0,0,0
524945,2176,0,0,0,0,0,0
524946,2176,0,0,0,0,0,0
524947,2176,0,0,0,0,0,0
524948,2176,0,0,0,0,0,0
524949,2176,0,0,0,0,0,0
524950,2176,0,0,0,0,0,0
524951,2176,0,0,0,0,0,0
524952,2176,0,0,0,0,0,0
524953,2176,0,0,0,0,0,0
524954,2176,0,0,0,0,0,0
524955,2176,0,0,0,0,0,0
524956,2176,0,0,0,0,0,0
524957,2176,0,0,0,0,0,0
524958,2176,0,0,0,0,0,0
524959,2176,0,0,0,0,0,0
524960,2176,0,0,0,0,0,0
524961,2176,0,0,0,0,0,0
524962,2176,0,0,0,0,0,0
524963,2176,0,0,0,0,0,0
524964,2176,0,0,0,0,0,0
524965,2176,0,0,0,0,0,0
524966,2176,0,0,0,0,0,0
524967,2176,0,0,0,0,0,0
524968,2176,0,0,0,0,0,0
524969,2176,0,0,0,0,0,0
524970,2176,0,0,0,0,0,0
524971,2176,0,0,0,0,0,0
524972,2176,0,0,0,0,0,0
524973,2176,0,0,0,0,0,0
524974,2176,0,0,0,0,0,0
524975,2176,0,0,0,0,0,0
524976,2176,0,0,0,0,0,0
524977,2176,0,0,0,0,0,0
524978,2176,0,0,0,0,0,0
524979,2176,0,0,0,0,0,0
524980,2176,0,0,0,0,0,0
524981,2176,0,0,0,0,0,0
524982,2176,0,0,0,0,0,0
524983,2176,0,0,0,0,0,0
524984,2176,0,0,0,0,0,0
524985,2176,0,0,0,0,0,0
524986,2176,0,0,0,0,0,0
524987,2176,0,0,0,0,0,0
524988,2176,0,0,0,0,0,0
524989,2176,0,0,0,0,0,0
524990,2176,0,0,0,0,0,0
524991,2176,0,0,0,0,0,0
524992,2176,0,0,0,0,0,0
524993,2176,0,0,0,0,0,0
524994,2176,0,0,0,0,0,0
524995,2176,0,0,0,0,0,0
524996,2176,0,0,0,0,0,0
524997,2176,0,0,0,0,0,0
524998,2176,0,0,0,0,0,0
524999,2176,0,0,0,0,0,0
525000,2176,0,0,0,0,0,0
525001,2176,0,0,0,0,0,0
525002,2176,0,0,0,0,0,0
525003,2176,0,0,0,0,0,0
525004,2176,0,0,0,0,0,0
525005,2176,0,0,0,0,0,0
525006,2176,0,0,0,0,0,0
525007,2176,0,0,0,0,0,0
525008,2176,0,0,0,0,0,0
525009,2176,0,0,0,0,0,0
525010,2176,0,0,0,0,0,0
525011,2176,0,0,0,0,0,0
525012,2176,0,0,0,0,0,0
525013,2176,0,0,0,0,0,0
525014,2176,0,0,0,0,0,0
525015,2176,0,0,0,0,0,0
525016,2176,0,0,0,0,0,0
525017,2176,0,0,0,0,0,0
525018,2176,0,0,0,0,0,0
525019,2176,0,0,0,0,0,0
525020,2176,0,0,0,0,0,0
525021,2176,0,0,0,0,0,0
525022,2176,0,0,0,0,0,0
525023,2176,0,0,0,0,0,0
525024,2176,0,0,0,0,0,0
525025,2176,0,0,0,0,0,0
525026,2176,0,0,0,0,0,0
525027,2176,0,0,0,0,0,0
525028,2176,0,0,0,0,0,0
525029,2176,0,0,0,0,0,0
525030,2176,0,0,0,0,0,0
525031,2176,0,0,0,0,0,0
525032,2176,0,0,0,0,0,0
525033,2176,0,0,0,0,0,0
525034,2176,0,0,0,0,0,0
525035,2176,0,0,0,0,0,0
525036,2176,0,0,0,0,0,0
525037,2176,0,0,0,0,0,0
525038,2176,0,0,0,0,0,0
525039,2176,0,0,0,0,0,0
525040,2176,0,0,0,0,0,0
525041,2176,0,0,0,0,0,0
525042,2176,0,0,0,0,0,0
525043,2176,0,0,0,0,0,0
525044,2176,0,0,0,0,0,0
525045,2176,0,0,0,0,0,0
525046,2176,0,0,0,0,0,0
525047,2176,0,0,0,0,0,0
525048,2176,0,0,0,0,0,0
525049,2176,0,0,0,0,0,0
525050,2176,0,0,0,0,0,0
525051,2176,0,0,0,0,0,0
525052,2176,0,0,0,0,0,0
525053,2176,0,0,0,0,0,0
525054,2176,0,0,0,0,0,0
525055,2176,0,0,0,0,0,0
